,loss,accuracy
0,3.2215726375579834,0.03400000184774399
1,3.2211427688598633,0.03911111131310463
2,3.220740795135498,0.03888889029622078
3,3.2210299968719482,0.036222223192453384
4,3.220832586288452,0.036666665226221085
5,3.222886085510254,0.04422222077846527
6,3.220404624938965,0.041777778416872025
7,3.2192223072052,0.03822222352027893
8,3.2195308208465576,0.03311111032962799
9,3.218628168106079,0.03688888996839523
10,3.218655824661255,0.03977777808904648
11,3.2180652618408203,0.04044444486498833
12,3.2182676792144775,0.03933333232998848
13,3.2172646522521973,0.03955555707216263
14,3.218590021133423,0.036444444209337234
15,3.220231056213379,0.04333333298563957
16,3.217458963394165,0.03866666555404663
17,3.216911554336548,0.03422222286462784
18,3.2174699306488037,0.035999998450279236
19,3.216355800628662,0.03422222286462784
20,3.2161688804626465,0.03911111131310463
21,3.2164933681488037,0.03733333200216293
22,3.2205164432525635,0.04044444486498833
23,3.2159247398376465,0.03799999877810478
24,3.2146222591400146,0.04044444486498833
25,3.214972972869873,0.03200000151991844
26,3.213848829269409,0.03955555707216263
27,3.214137077331543,0.041777778416872025
28,3.213181257247925,0.041333332657814026
29,3.2137444019317627,0.036222223192453384
30,3.2141096591949463,0.04244444519281387
31,3.2137598991394043,0.03733333200216293
32,3.213491916656494,0.03333333507180214
33,3.2122645378112793,0.036444444209337234
34,3.2130801677703857,0.03933333232998848
35,3.211879253387451,0.036666665226221085
36,3.2093470096588135,0.04244444519281387
37,3.21024489402771,0.04266666620969772
38,3.211247444152832,0.03733333200216293
39,3.2114572525024414,0.03844444453716278
40,3.2100844383239746,0.036666665226221085
41,3.2096922397613525,0.042888887226581573
42,3.2095627784729004,0.04533333331346512
43,3.2089476585388184,0.04399999976158142
44,3.214338541030884,0.04244444519281387
45,3.2104671001434326,0.03999999910593033
46,3.208763837814331,0.04044444486498833
47,3.208178758621216,0.04266666620969772
48,3.207751512527466,0.041333332657814026
49,3.2082016468048096,0.040888890624046326
